Acronym,Name,Hemisphere ID
Left: AUDd1,"Dorsal auditory area, layer 1",3
Right: AUDd1,"Dorsal auditory area, layer 1",3
Left: AUDd2/3,"Dorsal auditory area, layer 2/3",3
Right: AUDd2/3,"Dorsal auditory area, layer 2/3",3
Left: AUDd4,"Dorsal auditory area, layer 4",3
Right: AUDd4,"Dorsal auditory area, layer 4",3
Left: AUDd5,"Dorsal auditory area, layer 5",3
Right: AUDd5,"Dorsal auditory area, layer 5",3
Left: AUDd6a,"Dorsal auditory area, layer 6a",3
Right: AUDd6a,"Dorsal auditory area, layer 6a",3
Left: AUDd6b,"Dorsal auditory area, layer 6b",3
Right: AUDd6b,"Dorsal auditory area, layer 6b",3
Left: VISlla1,"Laterolateral anterior visual area, layer 1",3
Right: VISlla1,"Laterolateral anterior visual area, layer 1",3
Left: VISlla2/3,"Laterolateral anterior visual area, layer 2/3",3
Right: VISlla2/3,"Laterolateral anterior visual area, layer 2/3",3
Left: VISlla4,"Laterolateral anterior visual area, layer 4",3
Right: VISlla4,"Laterolateral anterior visual area, layer 4",3
Left: VISlla5,"Laterolateral anterior visual area,layer 5",3
Right: VISlla5,"Laterolateral anterior visual area,layer 5",3
Left: VISlla6a,"Laterolateral anterior visual area, layer 6a",3
Right: VISlla6a,"Laterolateral anterior visual area, layer 6a",3
Left: VISlla6b,"Laterolateral anterior visual area, layer 6b",3
Right: VISlla6b,"Laterolateral anterior visual area, layer 6b",3
Left: AUDp1,"Primary auditory area, layer 1",3
Right: AUDp1,"Primary auditory area, layer 1",3
Left: AUDp2/3,"Primary auditory area, layer 2/3",3
Right: AUDp2/3,"Primary auditory area, layer 2/3",3
Left: AUDp4,"Primary auditory area, layer 4",3
Right: AUDp4,"Primary auditory area, layer 4",3
Left: AUDp5,"Primary auditory area, layer 5",3
Right: AUDp5,"Primary auditory area, layer 5",3
Left: AUDp6a,"Primary auditory area, layer 6a",3
Right: AUDp6a,"Primary auditory area, layer 6a",3
Left: AUDp6b,"Primary auditory area, layer 6b",3
Right: AUDp6b,"Primary auditory area, layer 6b",3
Left: AUDpo1,"Posterior auditory area, layer 1",3
Right: AUDpo1,"Posterior auditory area, layer 1",3
Left: AUDpo2/3,"Posterior auditory area, layer 2/3",3
Right: AUDpo2/3,"Posterior auditory area, layer 2/3",3
Left: AUDpo4,"Posterior auditory area, layer 4",3
Right: AUDpo4,"Posterior auditory area, layer 4",3
Left: AUDpo5,"Posterior auditory area, layer 5",3
Right: AUDpo5,"Posterior auditory area, layer 5",3
Left: AUDpo6a,"Posterior auditory area, layer 6a",3
Right: AUDpo6a,"Posterior auditory area, layer 6a",3
Left: AUDpo6b,"Posterior auditory area, layer 6b",3
Right: AUDpo6b,"Posterior auditory area, layer 6b",3
Left: AUDv1,"Ventral auditory area, layer 1",3
Right: AUDv1,"Ventral auditory area, layer 1",3
Left: AUDv2/3,"Ventral auditory area, layer 2/3",3
Right: AUDv2/3,"Ventral auditory area, layer 2/3",3
Left: AUDv4,"Ventral auditory area, layer 4",3
Right: AUDv4,"Ventral auditory area, layer 4",3
Left: AUDv5,"Ventral auditory area, layer 5",3
Right: AUDv5,"Ventral auditory area, layer 5",3
Left: AUDv6a,"Ventral auditory area, layer 6a",3
Right: AUDv6a,"Ventral auditory area, layer 6a",3
Left: AUDv6b,"Ventral auditory area, layer 6b",3
Right: AUDv6b,"Ventral auditory area, layer 6b",3
Left: VIS1,"Visual areas, layer 1",3
Right: VIS1,"Visual areas, layer 1",3
Left: VIS2/3,"Visual areas, layer 2/3",3
Right: VIS2/3,"Visual areas, layer 2/3",3
Left: VIS4,"Visual areas, layer 4",3
Right: VIS4,"Visual areas, layer 4",3
Left: VIS5,"Visual areas, layer 5",3
Right: VIS5,"Visual areas, layer 5",3
Left: VIS6a,"Visual areas, layer 6a",3
Right: VIS6a,"Visual areas, layer 6a",3
Left: VIS6b,"Visual areas, layer 6b",3
Right: VIS6b,"Visual areas, layer 6b",3
Left: VISal1,"Anterolateral visual area, layer 1",3
Right: VISal1,"Anterolateral visual area, layer 1",3
Left: VISal2/3,"Anterolateral visual area, layer 2/3",3
Right: VISal2/3,"Anterolateral visual area, layer 2/3",3
Left: VISal4,"Anterolateral visual area, layer 4",3
Right: VISal4,"Anterolateral visual area, layer 4",3
Left: VISal5,"Anterolateral visual area, layer 5",3
